county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Meru,2020,67416,74757,1545714.0,105.255,21.175833333333333,1.1088910644357421,0.04836405699890148,11.222011508937708,710.2465441071683
Meru,2021,75058,53331,1545714.0,105.255,21.175833333333333,0.7105305230621652,0.03450250175646982,10.88429180523535,506.6837679920194
Meru,2022,66338,63157,1545714.0,105.255,21.175833333333333,0.9520485995960083,0.040859434539636696,11.053394802257065,600.0380029452283
Meru,2023,142379,151039,1545714.0,105.255,21.175833333333333,1.060823576510581,0.09771471307111147,11.925299981379327,1434.9817110826089
Meru,2024,136082,133150,1545714.0,105.255,21.175833333333333,0.9784541673402801,0.08614142072854357,11.799239101540575,1265.0230392855447
Mombasa,2020,606,803,1208333.0,84.25166666666667,26.485,1.325082508250825,0.0006645519074625952,6.6895992691789665,9.53096872465431
Mombasa,2021,649,0,1208333.0,84.25166666666667,26.485,0.0,0.0,0.0,0.0
Mombasa,2022,842,272,1208333.0,84.25166666666667,26.485,0.32304038004750596,0.00022510351037338216,5.60947179518496,3.2284227809538883
Mombasa,2023,876,878,1208333.0,84.25166666666667,26.485,1.0022831050228311,0.0007266208901023145,6.778784897685177,10.421158829696742
Mombasa,2024,867,770,1208333.0,84.25166666666667,26.485,0.8881199538638985,0.0006372415551011187,6.647688373563329,9.13928507843564
Murang’a,2020,66381,63653,875689.0,92.92253787878789,21.944299242424247,0.9589039032253205,,11.061217445687326,
Murang’a,2021,62983,49256,875689.0,92.92253787878789,21.944299242424247,0.7820522998269375,,10.804806768480137,
Murang’a,2022,67530,47434,875689.0,92.92253787878789,21.944299242424247,0.7024137420405746,,10.767115631826977,
Murang’a,2023,68399,56827,875689.0,92.92253787878789,21.944299242424247,0.8308162400035088,,10.947784440991967,
Murang’a,2024,54189,55488,875689.0,92.92253787878789,21.944299242424247,1.023971654763882,,10.92394008189247,
Nairobi,2020,684,972,875689.0,76.69083333333333,18.925,1.4210526315789473,,6.880384082186005,12.674265720588076
Nairobi,2021,754,571,875689.0,76.69083333333333,18.925,0.7572944297082228,,6.349138991379798,7.4454791424442295
Nairobi,2022,661,246,875689.0,76.69083333333333,18.925,0.3721633888048411,,5.5093883366279774,3.207684534222908
Nairobi,2023,758,676,875689.0,76.69083333333333,18.925,0.8918205804749341,,6.517671272912275,8.81461278510035
Nairobi,2024,713,641,875689.0,76.69083333333333,18.925,0.8990182328190743,,6.464588303689961,8.358234904214976
Nakuru,2020,64963,206151,2162202.0,85.145,15.633333333333333,3.1733602204331697,0.09534308080373619,12.236369039761524,2421.1756415526456
Nakuru,2021,87651,242825,2162202.0,85.145,15.633333333333333,2.7703620038562025,0.11230449328971114,12.400100416454165,2851.899700510893
Nakuru,2022,66315,213786,2162202.0,85.145,15.633333333333333,3.2237955213752545,0.09887420324280526,12.272735471234236,2510.846203535146
Nakuru,2023,71470,215412,2162202.0,85.145,15.633333333333333,3.0140198684762836,0.09962621438699992,12.280312394715207,2529.9430383463505
Nakuru,2024,94421,201876,2162202.0,85.145,15.633333333333333,2.1380413255525785,0.09336592973274467,12.215413880030725,2370.9671736449586
Nandi,2020,59746,165866,885711.0,135.34,18.8,2.776185853446256,0.18726875922281647,12.01894154138328,1225.5504654943106
Nandi,2021,26825,64175,885711.0,135.34,18.8,2.392357875116496,0.0724559139493582,11.069384588009834,474.1761489581794
Nandi,2022,45674,89447,885711.0,135.34,18.8,1.958378946446556,0.10098892302342412,11.401412729827204,660.9058667060735
Nandi,2023,67429,159556,885711.0,135.34,18.8,2.366281570244257,0.1801445392458714,11.9801565041379,1178.9271464459878
Nandi,2024,57812,179389,885711.0,135.34,18.8,3.1029717013768767,0.2025367190878289,12.097317485693136,1325.4691887099157
Narok,2020,116717,202855,1157873.0,89.3075,17.97,1.7380073168433048,0.17519624345675217,12.220251646703444,2271.4217730873665
Narok,2021,121809,280273,1157873.0,89.3075,17.97,2.3009219351607846,0.24205849864363363,12.543522975091069,3138.2918567869438
Narok,2022,127460,271028,1157873.0,89.3075,17.97,2.126376902557665,0.23407403057157392,12.509981105206673,3034.773115359852
Narok,2023,132396,314403,1157873.0,89.3075,17.97,2.3747167588144658,0.27153496108813313,12.658434062102566,3520.4546090753856
Narok,2024,122245,224236,1157873.0,89.3075,17.97,1.8343163319563172,0.1936619992002577,12.320458807226165,2510.830557344008
Nyamira,2020,42730,67563,605576.0,144.665,19.329166666666666,1.5811607769716827,0.11156815990065656,11.120830575800236,467.03072616043966
Nyamira,2021,43134,61937,605576.0,144.665,19.329166666666666,1.4359206194649232,0.10227783135395062,11.033889163693646,428.1408771990461
